Name,LastName,YearsInOffice,Party,State,TermEnds,District,Branch,Role,ChairmanOfCommittee,ChairmanOfSubcommittee1,ChairmanOfSubcommittee2,ChairmanOfSubcommittee3,ChairmanOfOtherCommittee1,ChairmanOfOtherCommittee2
Donald J. Trump,Trump,,Republican,,,,Executive,President,,,,,,
Scott Pruitt,Pruitt,,,,,,Executive,Administrator of the Environmental Protection Agency,,,,,,
Linda E. McMahon,McMahon,,,,,,Executive,Administrator of the Small Business Administration,,,,,,
Jeff Sessions,Sessions,,,,,,Executive,Attorney General,,,,,,
Daniel Coats,Coats,,,,,,Executive,Director of National Intelligence,,,,,,
Mike Pompeo,Pompeo,,,,,,Executive,Director of the Central Intelligence Agency,,,,,,
Mick Mulvaney,Mulvaney,,,,,,Executive,Director of the Office of Management and Budget,,,,,,
Nikki R. Haley,Haley,,,,,,Executive,Representative of the United States to the United Nations,,,,,,
Sonny Perdue,Perdue,,,,,,Executive,Secretary of Agriculture,,,,,,
"Wilbur L. Ross, Jr.",Ross,,,,,,Executive,Secretary of Commerce,,,,,,
James Mattis,Mattis,,,,,,Executive,Secretary of Defense,,,,,,
Elisabeth Prince DeVos,DeVos,,,,,,Executive,Secretary of Education,,,,,,
James Richard Perry,Perry,,,,,,Executive,Secretary of Energy,,,,,,
Alex Azar,Azar,,,,,,Executive,Secretary of Health and Human Services,,,,,,
Kirstjen Nielsen,Nielsen,,,,,,Executive,Secretary of Homeland Security,,,,,,
"Benjamin S. Carson, Sr.",Carson,,,,,,Executive,Secretary of Housing and Urban Development,,,,,,
Ryan Zinke,Zinke,,,,,,Executive,Secretary of the Interior,,,,,,
Alexander Acosta,Acosta,,,,,,Executive,Secretary of Labor,,,,,,
Rex W. Tillerson,Tillerson,,,,,,Executive,Secretary of State,,,,,,
Elaine L. Chao,Chao,,,,,,Executive,Secretary of Transportation,,,,,,
Steven T. Mnuchin,Mnuchin,,,,,,Executive,Secretary of the Treasury,,,,,,
David J. Shulkin,Shulkin,,,,,,Executive,Secretary of Veterans Affairs,,,,,,
Robert Lighthizer,Lighthizer,,,,,,Executive,U.S. Trade Representative,,,,,,
Michael R. Pence,Pence,,Republican,,,,Executive,Vice President,,,,,,
John F. Kelly,Kelly,,,,,,Executive,White House Chief of Staff,,,,,,
