Name,LastName,YearsInOffice,Party,State,TermEnds,District,Branch,Role,ChairmanOfCommittee,ChairmanOfSubcommittee1,ChairmanOfSubcommittee2,ChairmanOfSubcommittee3,ChairmanOfOtherCommittee1,ChairmanOfOtherCommittee2
Adam Kinzinger,Kinzinger,6,Republican,Illinois,,District 16,House,,,,,,,
Adam Schiff,Schiff,16,Democratic,California,,District 28,House,,,,,,,
Adam Smith,Smith,20,Democratic,Washington,,District 9,House,,,,,,,
Adrian Smith,Smith,10,Republican,Nebraska,,District 3,House,,,Human Resources,,,,
Adriano Espaillat,Espaillat,0,Democratic,New York,,District 13,House,,,,,,,
Al Green,Green,12,Democratic,Texas,,District 9,House,,,,,,,
Alan Lowenthal,Lowenthal,4,Democratic,California,,District 47,House,,,,,,,
Albio Sires,Sires,4,Democratic,New Jersey,,District 8,House,,,,,,,
Alcee L. Hastings,Hastings,24,Democratic,Florida,,District 20,House,,,,,,,
Alexander Mooney,Mooney,2,Republican,West Virginia,,District 2,House,,,,,,,
Alfred Lawson,Lawson,0,Democratic,Florida,,District 5,House,,,,,,,
Alma Adams,Adams,3,Democratic,North Carolina,,District 12,House,,,,,,,
Amata Coleman Radewagen,Radewagen,3,Republican,American Samoa,,,House,,,Health and Technology,,,,
Ami Bera,Bera,4,Democratic,California,,District 7,House,,,,,,,
Andre Carson,Carson,9,Democratic,Indiana,,District 7,House,,,,,,,
Andy Barr,Barr,4,Republican,Kentucky,,District 6,House,,,Monetary Policy and Trade,,,,
Andy Biggs,Biggs,0,Republican,Arizona,,District 5,House,,,,,,,
Andy Harris,Harris,6,Republican,Maryland,,District 1,House,,,,,,,
Ann Wagner,Wagner,4,Republican,Missouri,,District 2,House,,,Oversight and Investigations,,,,
Anna Eshoo,Eshoo,24,Democratic,California,,District 18,House,,,,,,,
Annie Kuster,Kuster,4,Democratic,New Hampshire,,District 2,House,,,,,,,
Anthony G. Brown,Brown,0,Democratic,Maryland,,District 4,House,,,,,,,
Austin Scott,Scott,6,Republican,Georgia,,District 8,House,,,"Commodity Exchanges, Energy, and Credit",,,,
Barbara Comstock,Comstock,2,Republican,Virginia,,District 10,House,,,Research and Technology,,,,
Barbara Lee,Lee,18,Democratic,California,,District 13,House,,,,,,,
Barry Loudermilk,Loudermilk,2,Republican,Georgia,,District 11,House,,,Oversight,,,,
Ben Ray Lujan,Lujan,8,Democratic,New Mexico,,District 3,House,,,,,,,
Bennie Thompson,Thompson,24,Democratic,Mississippi,,District 2,House,,,,,,,
Beto O'Rourke,O'Rourke,4,Democratic,Texas,,District 16,House,,,,,,,
Betty McCollum,McCollum,8,Democratic,Minnesota,,District 4,House,,,,,,,
Bill Flores,Flores,6,Republican,Texas,,District 17,House,,,,,,,
Bill Foster,Foster,4,Democratic,Illinois,,District 11,House,,,,,,,
Bill Huizenga,Huizenga,6,Republican,Michigan,,District 2,House,,,"Capital Markets, Securities and Investment",,,,
Bill Johnson,Johnson,6,Republican,Ohio,,District 6,House,,,,,,,
Bill Keating,Keating,6,Democratic,Massachusetts,,District 9,House,,,,,,,
Bill Pascrell,Pascrell,4,Democratic,New Jersey,,District 9,House,,,,,,,
Bill Posey,Posey,8,Republican,Florida,,District 8,House,,,,,,,
Bill Shuster,Shuster,16,Republican,Pennsylvania,,District 9,House,,Transportation and Infrastructure,,,,,
Billy Long,Long,6,Republican,Missouri,,District 7,House,,,,,,,
Blaine Luetkemeyer,Luetkemeyer,8,Republican,Missouri,,District 3,House,,,Financial Institutions and Consumer Credit,,,,
Blake Farenthold,Farenthold,6,Republican,Texas,,District 27,House,,,"Interior, Energy, and Environment",,,,
Bob Gibbs,Gibbs,6,Republican,Ohio,,District 7,House,,,Water Resources and Environment,,,,
Bob Goodlatte,Goodlatte,24,Republican,Virginia,,District 6,House,,Judiciary,,,,,
Bobby L. Rush,Rush,24,Democratic,Illinois,,District 1,House,,,,,,,
Bobby Scott,Scott,24,Democratic,Virginia,,District 3,House,,,,,,,
Bonnie Watson Coleman,Watson Coleman,2,Democratic,New Jersey,,District 12,House,,,,,,,
Brad Schneider,Schneider,0,Democratic,Illinois,,District 10,House,,,,,,,
Brad Sherman,Sherman,20,Democratic,California,,District 30,House,,,,,,,
Brad Wenstrup,Wenstrup,4,Republican,Ohio,,District 2,House,,,Economic Opportunity,Health,,,
Bradley Byrne,Byrne,3,Republican,Alabama,,District 1,House,,,Workforce Protections,,,,
Brenda Lawrence,Lawrence,2,Democratic,Michigan,,District 14,House,,,,,,,
Brendan Boyle,Boyle,2,Democratic,Pennsylvania,,District 13,House,,,,,,,
Brett Guthrie,Guthrie,8,Republican,Kentucky,,District 2,House,,,Higher Education and Workforce Training,,,,
Brian Babin,Babin,2,Republican,Texas,,District 36,House,,,Space,,,,
Brian Fitzpatrick,Fitzpatrick,0,Republican,Pennsylvania,,District 8,House,,,,,,,
Brian Higgins,Higgins,12,Democratic,New York,,District 26,House,,,,,,,
Brian Mast,Mast,0,Republican,Florida,,District 18,House,,,,,,,
Bruce Poliquin,Poliquin,2,Republican,Maine,,District 2,House,,,,,,,
Bruce Westerman,Westerman,2,Republican,Arkansas,,District 4,House,,,Oversight and Investigations,,,,
Carlos Curbelo,Curbelo,2,Republican,Florida,,District 26,House,,,"Agriculture, Energy and Trade",,,,
Carol Shea-Porter,Shea-Porter,0,Democratic,New Hampshire,,District 1,House,,,,,,,
Carolyn B. Maloney,Maloney,24,Democratic,New York,,District 12,House,,,,,,,
Cathy McMorris Rodgers,McMorris Rodgers,12,Republican,Washington,,District 5,House,Republican Conference Chairman ,,,,,,
Cedric Richmond,Richmond,6,Democratic,Louisiana,,District 2,House,,,,,,,
Charles J. Fleischmann,Fleischmann,6,Republican,Tennessee,,District 3,House,,,,,,,
Charles W. Dent,Dent,12,Republican,Pennsylvania,,District 15,House,,,"Military Construction, Veterans Affairs, and Related Agencies",,,,
Charlie Crist,Crist,0,Democratic,Florida,,District 13,House,,,,,,,
Chellie Pingree,Pingree,8,Democratic,Maine,,District 1,House,,,,,,,
Cheri Bustos,Bustos,4,Democratic,Illinois,,District 17,House,,,,,,,
Chris Collins,Collins,4,Republican,New York,,District 27,House,,,,,,,
Chris Smith,Smith,36,Republican,New Jersey,,District 4,House,,,"Africa, Global Health, Global Human Rights and International Organizations",,,,
Chris Stewart,Stewart,4,Republican,Utah,,District 2,House,,,,,,,
Claudia Tenney,Tenney,0,Republican,New York,,District 22,House,,,,,,,
Clay Higgins,Higgins,0,Republican,Louisiana,,District 3,House,,,,,,,
Colleen Hanabusa,Hanabusa,1,Democratic,Hawaii,,District 1,House,,,,,,,
Collin Peterson,Peterson,26,Democratic,Minnesota,,District 7,House,,,,,,,
Dan Kildee,Kildee,4,Democratic,Michigan,,District 5,House,,,,,,,
Dan Newhouse,Newhouse,2,Republican,Washington,,District 4,House,,,,,,,
Dana Rohrabacher,Rohrabacher,28,Republican,California,,District 48,House,,,"Europe, Eurasia and Emerging Threats",,,,
Daniel Donovan,Donovan,2,Republican,New York,,District 11,House,,,"Emergency Preparedness, Response, and Communications",,,,
Daniel Lipinski,Lipinski,12,Democratic,Illinois,,District 3,House,,,,,,,
Daniel Webster,Webster,6,Republican,Florida,,District 11,House,,,,,,,
Danny K. Davis,Davis,20,Democratic,Illinois,,District 7,House,,,,,,,
Darin LaHood,LaHood,2,Republican,Illinois,,District 18,House,,,,,,,
Darrell Issa,Issa,16,Republican,California,,District 49,House,,,"Courts, Intellectual Property and the Internet",,,,
Darren Soto,Soto,0,Democratic,Florida,,District 9,House,,,,,,,
Dave Loebsack,Loebsack,10,Democratic,Iowa,,District 2,House,,,,,,,
Dave Reichert,Reichert,12,Republican,Washington,,District 8,House,,,Trade,,,,
David Brat,Brat,3,Republican,Virginia,,District 7,House,,,"Economic Growth, Tax and Capital Access",,,,
David G. Valadao,Valadao,4,Republican,California,,District 21,House,,,,,,,
David Joyce,Joyce,4,Republican,Ohio,,District 14,House,,,,,,,
David Kustoff,Kustoff,0,Republican,Tennessee,,District 8,House,,,,,,,
David McKinley,McKinley,6,Republican,West Virginia,,District 1,House,,,,,,,
David N. Cicilline,Cicilline,6,Democratic,Rhode Island,,District 1,House,,,,,,,
David Price,Price,20,Democratic,North Carolina,,District 4,House,,,,,,,
