Name,LastName,YearsInOffice,Party,State,TermEnds,District,Branch,Role,ChairmanOfCommittee,ChairmanOfSubcommittee1,ChairmanOfSubcommittee2,ChairmanOfSubcommittee3,ChairmanOfOtherCommittee1,ChairmanOfOtherCommittee2
Al Franken,Franken,8,Democratic,Minnesota,2021,,Senate,,,,,,,
Amy Klobuchar,Klobuchar,10,Democratic,Minnesota,2019,,Senate,Chair of Steering Committee,,,,,,
Angus King,King,4,Independent,Maine,2019,,Senate,,,,,,,
Ben Cardin,Cardin,10,Democratic,Maryland,2019,,Senate,,,,,,,
Ben Sasse,Sasse,2,Republican,Nebraska,2021,,Senate,,,"Military Construction, Veterans Affairs, and Related Agencies",Subcommittee on Children and Families,,,
Bernie Sanders,Sanders,10,Independent,Vermont,2019,,Senate,Chairman of Outreach,,,,,,
Bill Cassidy,Cassidy,2,Republican,Louisiana,2021,,Senate,,,"Social Security, Pensions, and Family Policy",,,,
Bill Nelson,Nelson,17,Democratic,Florida,2019,,Senate,,,,,,,
Bob Casey  Jr.,Casey ,10,Democratic,Pennsylvania,2019,,Senate,,,,,,,
Bob Corker,Corker,10,Republican,Tennessee,2019,,Senate,,Foreign Relations,,,,,
Bob Menendez,Menendez,11,Democratic,New Jersey,2019,,Senate,,,,,,,
Brian E. Schatz,Schatz,5,Democratic,Hawaii,2023,,Senate,,,,,,,
Catherine Cortez Masto,Cortez Masto,0,Democratic,Nevada,2023,,Senate,,,,,,,
Chris Coons,Coons,7,Democratic,Delaware,2021,,Senate,,,,,,,
Chris Van Hollen,Van Hollen,0,Democratic,Maryland,2023,,Senate,Chairman of Campaign Committee,,,,,,
Christopher S. Murphy,Murphy,4,Democratic,Connecticut,2019,,Senate,,,,,,,
Chuck Grassley,Grassley,36,Republican,Iowa,2023,,Senate,,Judiciary,,,,International Narcotics Control,
Chuck Schumer,Schumer,18,Democratic,New York,2023,,Senate,Democratic Leader Chairman of the Conference,,,,,,
Claire McCaskill,McCaskill,10,Democratic,Missouri,2019,,Senate,,,,,,,
Cory Booker,Booker,4,Democratic,New Jersey,2021,,Senate,,,,,,,
Cory Gardner,Gardner,2,Republican,Colorado,2021,,Senate,Republican Senatorial Committee Chairman,,Federal Spending Oversight and Emergency Management,"State Department and USAID Management, International Operations and Bilateral International Development",,,
Daniel S. Sullivan,Sullivan,2,Republican,Alaska,2021,,Senate,,,"Oceans, Atmosphere, Fisheries, and Coast Guard",,,,
David Perdue,Perdue,2,Republican,Georgia,2021,,Senate,,,"Livestock, Marketing and Agriculture Security",,,,
Dean Heller,Heller,6,Republican,Nevada,2019,,Senate,,,Investigations (Permanent),"Space, Science and Competitiveness",,,
Deb Fischer,Fischer,4,Republican,Nebraska,2019,,Senate,,,"Energy, Natural Resources, and Infrastructure",Crime and Terrorism,,,
Debbie Stabenow,Stabenow,16,Democratic,Michigan,2019,,Senate,Chairwoman of Policy & Communications Committee,,,,,,
Dianne Feinstein,Feinstein,24,Democratic,California,2019,,Senate,,,,,,,
Dick Durbin,Durbin,20,Democratic,Illinois,2021,,Senate,Whip,,,,,,
Ed Markey,Markey,4,Democratic,Massachusetts,2021,,Senate,,,,,,,
Elizabeth Warren,Warren,4,Democratic,Massachusetts,2019,,Senate,Vice Chair of Conference,,,,,,
Gary Peters,Peters,2,Democratic,Michigan,2021,,Senate,,,,,,,
Heidi Heitkamp,Heitkamp,4,Democratic,North Dakota,2019,,Senate,,,,,,,
Jack Reed,Reed,20,Democratic,Rhode Island,2021,,Senate,,,,,,,
James Lankford,Lankford,2,Republican,Oklahoma,2023,,Senate,,,"Labor, Health and Human Services, Education, and Related Agencies","International Trade, Customs, and Global Competitiveness",,,
Jeanne Shaheen,Shaheen,8,Democratic,New Hampshire,2021,,Senate,,,,,,,
Jeff Flake,Flake,4,Republican,Arizona,2019,,Senate,,,Africa and Global Health Policy,"Privacy, Technology and the Law",Water and Power,,
Jeff Merkley,Merkley,8,Democratic,Oregon,2021,,Senate,,,,,,,
Jerry Moran,Moran,6,Republican,Kansas,2023,,Senate,,,"Surface Transportation and Merchant Marine Infrastructure, Safety, and Security",Energy,,,
Jim Inhofe,Inhofe,22,Republican,Oklahoma,2021,,Senate,,,Readiness and Management Support,Subcommittee on Employment and Workplace Safety,,,
Jim Risch,Risch,8,Republican,Idaho,2021,,Senate,,Small Business and Entrepreneurship,"Near East, South Asia, Central Asia and Counterterrorism",,,,
Joe Donnelly,Donnelly,4,Democratic,Indiana,2019,,Senate,,,,,,,
Joe Manchin III,Manchin,7,Democratic,West Virginia,2019,,Senate,Vice Chairman of Policy & Communications Committee,,,,,,
John Barrasso,Barrasso,10,Republican,Wyoming,2019,,Senate,Republican Policy Committee Chairman,Environment and Public Works,,,,,
John Boozman,Boozman,6,Republican,Arkansas,2023,,Senate,,,"Commodities, Risk Management and Trade","Fisheries, Water and Wildlife",Homeland Security,,
John Cornyn,Cornyn,14,Republican,Texas,2021,,Senate,Assistant Republican Leader,,Fiscal Responsibility and Economic Growth,Border Security and Immigration,,,
John Hoeven,Hoeven,6,Republican,North Dakota,2023,,Senate,,,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",,,Indian Affairs,
John McCain,McCain,30,Republican,Arizona,2023,,Senate,,Armed Services,,,,,
John Neely Kennedy,Kennedy,0,Republican,Louisiana,2023,,Senate,,,,,,,
John Thune,Thune,12,Republican,South Dakota,2023,,Senate,Republican Conference Chairman,"Commerce, Science, and Transportation",,,,,
Johnny Isakson,Isakson,12,Republican,Georgia,2023,,Senate,,Veterans' Affairs,Airland,"East Asia, The Pacific and International Cybersecurity Policy",,Ethics,
Jon Tester,Tester,10,Democratic,Montana,2019,,Senate,,,,,,,
Joni Ernst,Ernst,2,Republican,Iowa,2021,,Senate,,,Emerging Threats and Capabilities,"Communications, Technology, Innovation, and the Internet",,,
Kamala D. Harris,Harris,0,Democratic,California,2023,,Senate,,,,,,,
Kirsten Gillibrand,Gillibrand,8,Democratic,New York,2019,,Senate,,,,,,,
Lamar Alexander,Alexander,14,Republican,Tennessee,2021,,Senate,,"Health, Education, Labor and Pensions",Energy and Water Development,,,,
Lindsey Graham,Graham,14,Republican,South Carolina,2021,,Senate,,,Cybersecurity,Strategic Forces,,,
Lisa Murkowski,Murkowski,14,Republican,Alaska,2023,,Senate,,Energy and Natural Resources,"Interior, Environment, and Related Agencies",,,,
Luther J. Strange  III,Strange,0,Republican,Alabama,2019,,Senate,,,,,,,
Maggie Hassan,Hassan,0,Democratic,New Hampshire,2023,,Senate,,,,,,,
Marco Rubio,Rubio,6,Republican,Florida,2023,,Senate,,,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights and Global Women's Issues",,,,
Maria Cantwell,Cantwell,16,Democratic,Washington,2019,,Senate,,,,,,,
Mark Warner,Warner,8,Democratic,Virginia,2021,,Senate,Vice Chair of Conference,,,,,,
Martin Heinrich,Heinrich,4,Democratic,New Mexico,2019,,Senate,,,,,,,
Mazie K. Hirono,Hirono,4,Democratic,Hawaii,2019,,Senate,,,,,,,
Michael Bennet,Bennet,8,Democratic,Colorado,2023,,Senate,,,,,,,
Mike Crapo,Crapo,18,Republican,Idaho,2023,,Senate,,"Banking, Housing, and Urban Affairs",,,,,
Mike Enzi,Enzi,20,Republican,Wyoming,2021,,Senate,,Budget,Subcommittee on Primary Health and Retirement Security,,,,
Mike Lee,Lee,6,Republican,Utah,2023,,Senate,,,Economic Policy,The Constitution,,Joint Economic Committee,
Mike Rounds,Rounds,2,Republican,South Dakota,2021,,Senate,,,"Public Lands, Forests and Mining",Financial Services and General Government,,,
Mitch McConnell,McConnell,32,Republican,Kentucky,2021,,Senate,Republican Leader,,,,,,
Orrin Hatch,Hatch,40,Republican,Utah,2019,,Senate,,Finance,,,,Joint Committee on Taxation,
